Time,Error,Actual Speed,Torque,Target Speed
35.4,1.93798,86.5766,144.923,88.5146
35.5,1.93294,86.5817,144.917,88.5146
35.6,1.92792,86.5867,144.91,88.5146
35.7,1.9229,86.5917,144.903,88.5146
35.8,1.9179,86.5967,144.896,88.5146
35.9,1.91291,86.6017,144.889,88.5146
36,1.90794,86.6067,144.882,88.5146
36.1,1.90297,86.6117,144.875,88.5146
36.2,1.89802,86.6166,144.868,88.5146
36.3,1.89309,86.6215,144.862,88.5146
36.4,1.88816,86.6265,144.855,88.5146
36.5,1.88325,86.6314,144.848,88.5146
36.6,1.87835,86.6363,144.841,88.5146
36.7,1.87347,86.6412,144.834,88.5146
36.8,1.86859,86.646,144.828,88.5146
36.9,1.86373,86.6509,144.821,88.5146
37,1.85888,86.6557,144.814,88.5146
37.1,1.85404,86.6606,144.807,88.5146
37.2,1.84922,86.6654,144.801,88.5146
37.3,1.84441,86.6702,144.794,88.5146
37.4,1.83961,86.675,144.787,88.5146
37.5,1.83482,86.6798,144.781,88.5146
37.6,1.83005,86.6846,144.774,88.5146
37.7,1.82529,86.6893,144.767,88.5146
37.8,1.82054,86.6941,144.761,88.5146
37.9,1.8158,86.6988,144.754,88.5146
38,1.81107,86.7036,144.747,88.5146
38.1,1.80636,86.7083,144.741,88.5146
38.2,1.80166,86.713,144.734,88.5146
38.3,1.79697,86.7177,144.728,88.5146
38.4,1.7923,86.7223,144.721,88.5146
38.5,1.78763,86.727,144.715,88.5146
38.6,1.78298,86.7316,144.708,88.5146
38.7,1.77834,86.7363,144.702,88.5146
38.8,1.77371,86.7409,144.695,88.5146
38.9,1.76909,86.7455,144.689,88.5146
39,1.76449,86.7501,144.682,88.5146
39.1,1.7599,86.7547,144.676,88.5146
39.2,1.75532,86.7593,144.669,88.5146
39.3,1.75075,86.7639,144.663,88.5146
39.4,1.74619,86.7684,144.657,88.5146
39.5,1.74165,86.773,144.65,88.5146
39.6,1.73711,86.7775,144.644,88.5146
39.7,1.73259,86.782,144.638,88.5146
39.8,1.72808,86.7865,144.631,88.5146
39.9,1.72358,86.791,144.625,88.5146
40,1.7191,86.7955,144.619,88.5146
40.1,1.71462,86.8,144.612,88.5146
40.2,1.71016,86.8045,144.606,88.5146
40.3,1.70571,86.8089,144.6,88.5146
40.4,1.70127,86.8134,144.594,88.5146
40.5,1.69684,86.8178,144.587,88.5146
40.6,1.69242,86.8222,144.581,88.5146
40.7,1.68802,86.8266,144.575,88.5146
40.8,1.68362,86.831,144.569,88.5146
40.9,1.67924,86.8354,144.563,88.5146
41,1.67487,86.8398,144.556,88.5146
41.1,1.67051,86.8441,144.55,88.5146
41.2,1.66616,86.8485,144.544,88.5146
41.3,1.66182,86.8528,144.538,88.5146
41.4,1.6575,86.8571,144.532,88.5146
41.5,1.65318,86.8614,144.526,88.5146
41.6,1.64888,86.8657,144.52,88.5146
41.7,1.64459,86.87,144.514,88.5146
41.8,1.64031,86.8743,144.508,88.5146
41.9,1.63604,86.8786,144.502,88.5146
42,1.63178,86.8829,144.496,88.5146
42.1,1.62753,86.8871,144.49,88.5146
42.2,1.62329,86.8913,144.484,88.5146
42.3,1.61907,86.8956,144.478,88.5146
42.4,1.61485,86.8998,144.472,88.5146
42.5,1.61065,86.904,144.466,88.5146
42.6,1.60645,86.9082,144.46,88.5146
42.7,1.60227,86.9124,144.454,88.5146
42.8,1.5981,86.9165,144.448,88.5146
42.9,1.59394,86.9207,144.442,88.5146
43,1.58979,86.9248,144.437,88.5146
43.1,1.58565,86.929,144.431,88.5146
